Name,Link
BSS00015,https://epigenome.wustl.edu/epimap/data/observed/FINAL_ATAC-seq_BSS00015.sub_VS_Uniform_BKG_CONTROL_36_50000000.pval.signal.bedgraph.gz.bigWig
BSS00035,https://epigenome.wustl.edu/epimap/data/imputed/impute_BSS00035_ATAC-seq.bigWig
BSS00087,https://epigenome.wustl.edu/epimap/data/imputed/impute_BSS00087_ATAC-seq.bigWig
BSS00171,https://epigenome.wustl.edu/epimap/data/imputed/impute_BSS00171_ATAC-seq.bigWig
BSS00231,https://epigenome.wustl.edu/epimap/data/imputed/impute_BSS00231_ATAC-seq.bigWig
BSS00232,https://epigenome.wustl.edu/epimap/data/imputed/impute_BSS00232_ATAC-seq.bigWig
BSS00353,https://epigenome.wustl.edu/epimap/data/imputed/impute_BSS00353_ATAC-seq.bigWig
BSS00354,https://epigenome.wustl.edu/epimap/data/imputed/impute_BSS00354_ATAC-seq.bigWig
BSS00368,https://epigenome.wustl.edu/epimap/data/imputed/impute_BSS00368_ATAC-seq.bigWig
BSS00379,https://epigenome.wustl.edu/epimap/data/observed/FINAL_ATAC-seq_BSS00379.sub_VS_Uniform_BKG_CONTROL_36_50000000.pval.signal.bedgraph.gz.bigWig
BSS00439,https://epigenome.wustl.edu/epimap/data/imputed/impute_BSS00439_ATAC-seq.bigWig
BSS00478,https://epigenome.wustl.edu/epimap/data/imputed/impute_BSS00478_ATAC-seq.bigWig
BSS00484,https://epigenome.wustl.edu/epimap/data/imputed/impute_BSS00484_ATAC-seq.bigWig
BSS00492,https://epigenome.wustl.edu/epimap/data/imputed/impute_BSS00492_ATAC-seq.bigWig
BSS00507,https://epigenome.wustl.edu/epimap/data/observed/FINAL_ATAC-seq_BSS00507.sub_VS_Uniform_BKG_CONTROL_36_50000000.pval.signal.bedgraph.gz.bigWig
BSS00529,https://epigenome.wustl.edu/epimap/data/imputed/impute_BSS00529_ATAC-seq.bigWig
BSS00558,https://epigenome.wustl.edu/epimap/data/imputed/impute_BSS00558_ATAC-seq.bigWig
BSS00720,https://epigenome.wustl.edu/epimap/data/imputed/impute_BSS00720_ATAC-seq.bigWig
BSS00731,https://epigenome.wustl.edu/epimap/data/imputed/impute_BSS00731_ATAC-seq.bigWig
BSS01065,https://epigenome.wustl.edu/epimap/data/imputed/impute_BSS01065_ATAC-seq.bigWig
BSS01068,https://epigenome.wustl.edu/epimap/data/imputed/impute_BSS01068_ATAC-seq.bigWig
BSS01119,https://epigenome.wustl.edu/epimap/data/imputed/impute_BSS01119_ATAC-seq.bigWig
BSS01226,https://epigenome.wustl.edu/epimap/data/imputed/impute_BSS01226_ATAC-seq.bigWig
BSS01274,https://epigenome.wustl.edu/epimap/data/imputed/impute_BSS01274_ATAC-seq.bigWig
BSS01344,https://epigenome.wustl.edu/epimap/data/imputed/impute_BSS01344_ATAC-seq.bigWig
BSS01371,https://epigenome.wustl.edu/epimap/data/imputed/impute_BSS01371_ATAC-seq.bigWig
BSS01399,https://epigenome.wustl.edu/epimap/data/imputed/impute_BSS01399_ATAC-seq.bigWig
BSS01405,https://epigenome.wustl.edu/epimap/data/imputed/impute_BSS01405_ATAC-seq.bigWig
BSS01406,https://epigenome.wustl.edu/epimap/data/imputed/impute_BSS01406_ATAC-seq.bigWig
BSS01414,https://epigenome.wustl.edu/epimap/data/imputed/impute_BSS01414_ATAC-seq.bigWig
BSS01415,https://epigenome.wustl.edu/epimap/data/imputed/impute_BSS01415_ATAC-seq.bigWig
BSS01438,https://epigenome.wustl.edu/epimap/data/imputed/impute_BSS01438_ATAC-seq.bigWig
BSS01463,https://epigenome.wustl.edu/epimap/data/imputed/impute_BSS01463_ATAC-seq.bigWig
BSS01601,https://epigenome.wustl.edu/epimap/data/imputed/impute_BSS01601_ATAC-seq.bigWig
BSS01639,https://epigenome.wustl.edu/epimap/data/observed/FINAL_ATAC-seq_BSS01639.sub_VS_Uniform_BKG_CONTROL_36_50000000.pval.signal.bedgraph.gz.bigWig
BSS01651,https://epigenome.wustl.edu/epimap/data/imputed/impute_BSS01651_ATAC-seq.bigWig
BSS01857,https://epigenome.wustl.edu/epimap/data/imputed/impute_BSS01857_ATAC-seq.bigWig
BSS00146,https://epigenome.wustl.edu/epimap/data/observed/FINAL_ATAC-seq_BSS00146.sub_VS_Uniform_BKG_CONTROL_36_50000000.pval.signal.bedgraph.gz.bigWig
MonocyteCD4CD16,https://epigenome.wustl.edu/epimap/data/imputed/impute_BSS00178_ATAC-seq.bigWig
MatureNeutrophil,https://epigenome.wustl.edu/epimap/data/imputed/impute_BSS01380_ATAC-seq.bigWig
CD4T,https://epigenome.wustl.edu/epimap/data/imputed/impute_BSS00188_ATAC-seq.bigWig
