Name,Link
BSS00015,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00015.sub_VS_FINAL_WCE_BSS00015.pval.signal.bedgraph.gz.bigWig
BSS00035,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00035.sub_VS_FINAL_WCE_BSS00035.pval.signal.bedgraph.gz.bigWig
BSS00087,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00087.sub_VS_FINAL_WCE_BSS00087.pval.signal.bedgraph.gz.bigWig
BSS00146,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00146.sub_VS_FINAL_WCE_BSS00146.pval.signal.bedgraph.gz.bigWig
BSS00171,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00171.sub_VS_FINAL_WCE_BSS00171.pval.signal.bedgraph.gz.bigWig
BSS00231,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00231.sub_VS_FINAL_WCE_BSS00231.pval.signal.bedgraph.gz.bigWig
BSS00232,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00232.sub_VS_FINAL_WCE_BSS00232.pval.signal.bedgraph.gz.bigWig
BSS00353,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00353.sub_VS_FINAL_WCE_BSS00353.pval.signal.bedgraph.gz.bigWig
BSS00354,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00354.sub_VS_FINAL_WCE_BSS00354.pval.signal.bedgraph.gz.bigWig
BSS00368,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00368.sub_VS_FINAL_WCE_BSS00368.pval.signal.bedgraph.gz.bigWig
BSS00379,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00379.sub_VS_FINAL_WCE_BSS00379.pval.signal.bedgraph.gz.bigWig
BSS00439,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00439.sub_VS_FINAL_WCE_BSS00439.pval.signal.bedgraph.gz.bigWig
BSS00478,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00478.sub_VS_FINAL_WCE_BSS00478.pval.signal.bedgraph.gz.bigWig
BSS00484,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00484.sub_VS_FINAL_WCE_BSS00484.pval.signal.bedgraph.gz.bigWig
BSS00492,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00492.sub_VS_FINAL_WCE_BSS00492.pval.signal.bedgraph.gz.bigWig
BSS00507,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00507.sub_VS_FINAL_WCE_BSS00507.pval.signal.bedgraph.gz.bigWig
BSS00529,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00529.sub_VS_FINAL_WCE_BSS00529.pval.signal.bedgraph.gz.bigWig
